"_SYSTEM_ID","Question External Id","Question Name"
"65f18eb0d2bc56000784a302","SUR_TEST_001_1710329501161","Email"
"65f18eb0d2bc56000784a308","SUR_TEST_002_1710329501161","Name"
"65f18eb0d2bc56000784a30e","SUR_TEST_004_1710329501161","Ministry/Department"
,"SUR_TEST_004_1710329501161","Designation"
"65f18eb0d2bc56000784a314","SUR_TEST_005_1710329501161","Which of the following technology domains are you most interested in learning about? (You may select more than one)"
"65f18eb0d2bc56000784a31a","SUR_TEST_006_1710329501161","What should be the preferred duration of the online course on a subject?"
"65f18eb0d2bc56000784a320","SUR_TEST_007_1710329501161","How imprtant is hands-on or practical training in a course for you?"
"65f18eb0d2bc56000784a326","SUR_TEST_008_1710329501161","Which format of learning do you prefer?"
"65f18eb0d2bc56000784a32c","SUR_TEST_009_1710329501161","What is your main goal for taking these courses?"
"65f18eb0d2bc56000784a332","SUR_TEST_010_1710329501161","After taking courses on emerging technologies, I would like to:
 
(Select all that apply) [we shall include improvement in service delivery/ program or scheme delivery]"
