"_SYSTEM_ID","Question External Id","Question Name"
"65f41b68d2bc56000784ab7b","SUR_TEST_001_1710496556478","Email"
"65f41b68d2bc56000784ab81","SUR_TEST_002_1710496556478","Name"
"65f41b68d2bc56000784ab87","SUR_TEST_004_1710496556478","Ministry/Department"
,"SUR_TEST_004_1710496556478","Designation"
"65f41b68d2bc56000784ab8d","SUR_TEST_005_1710496556478","Which of the following technology domains are you most interested in learning about? (You may select more than one)"
"65f41b68d2bc56000784ab93","SUR_TEST_006_1710496556478","What should be the preferred duration of the online course on a subject?"
"65f41b68d2bc56000784ab99","SUR_TEST_007_1710496556478","How imprtant is hands-on or practical training in a course for you?"
"65f41b68d2bc56000784ab9f","SUR_TEST_008_1710496556478","Which format of learning do you prefer?"
"65f41b68d2bc56000784aba5","SUR_TEST_009_1710496556478","What is your main goal for taking these courses?"
"65f41b68d2bc56000784abab","SUR_TEST_010_1710496556478","After taking courses on emerging technologies, I would like to:
 
(Select all that apply) [we shall include improvement in service delivery/ program or scheme delivery]"
