"_SYSTEM_ID","Question External Id","Question Name"
"65f19b9bd2bc56000784a613","SUR_TEST_001_1710332825001","Email"
"65f19b9bd2bc56000784a619","SUR_TEST_002_1710332825001","Name"
"65f19b9bd2bc56000784a61f","SUR_TEST_004_1710332825001","Ministry/Department"
,"SUR_TEST_004_1710332825001","Designation"
"65f19b9bd2bc56000784a625","SUR_TEST_005_1710332825001","Which of the following technology domains are you most interested in learning about? (You may select more than one)"
"65f19b9bd2bc56000784a62b","SUR_TEST_006_1710332825001","What should be the preferred duration of the online course on a subject?"
"65f19b9bd2bc56000784a631","SUR_TEST_007_1710332825001","How imprtant is hands-on or practical training in a course for you?"
"65f19b9bd2bc56000784a637","SUR_TEST_008_1710332825001","Which format of learning do you prefer?"
"65f19b9bd2bc56000784a63d","SUR_TEST_009_1710332825001","What is your main goal for taking these courses?"
"65f19b9bd2bc56000784a643","SUR_TEST_010_1710332825001","After taking courses on emerging technologies, I would like to:
 
(Select all that apply) [we shall include improvement in service delivery/ program or scheme delivery]"
